match_id,fecha,fase,grupo,jornada,local,goles_local,visitante,goles_visitante,nota,total_goles,dif_goles,resultado,es_eliminacion_directa,fue_penales,fue_tiempo_extra
1,2026-06-11,Fase de grupos,A,1.0,Mexico,2,South Africa,0,,2,2,Local,False,False,False
2,2026-06-11,Fase de grupos,A,1.0,Korea Republic,2,Czechia,1,,3,1,Local,False,False,False
3,2026-06-18,Fase de grupos,A,2.0,Czechia,1,South Africa,1,,2,0,Empate,False,False,False
4,2026-06-18,Fase de grupos,A,2.0,Mexico,1,Korea Republic,0,,1,1,Local,False,False,False
5,2026-06-24,Fase de grupos,A,3.0,Czechia,0,Mexico,3,,3,3,Visitante,False,False,False
6,2026-06-24,Fase de grupos,A,3.0,South Africa,1,Korea Republic,0,,1,1,Local,False,False,False
7,2026-06-12,Fase de grupos,B,1.0,Canada,1,Bosnia and Herzegovina,1,,2,0,Empate,False,False,False
8,2026-06-13,Fase de grupos,B,1.0,Switzerland,1,Qatar,1,,2,0,Empate,False,False,False
9,2026-06-18,Fase de grupos,B,2.0,Switzerland,4,Bosnia and Herzegovina,1,,5,3,Local,False,False,False
10,2026-06-18,Fase de grupos,B,2.0,Canada,6,Qatar,0,,6,6,Local,False,False,False
11,2026-06-24,Fase de grupos,B,3.0,Switzerland,2,Canada,1,,3,1,Local,False,False,False
12,2026-06-24,Fase de grupos,B,3.0,Bosnia and Herzegovina,3,Qatar,1,,4,2,Local,False,False,False
13,2026-06-13,Fase de grupos,C,1.0,Brazil,1,Morocco,1,,2,0,Empate,False,False,False
14,2026-06-13,Fase de grupos,C,1.0,Scotland,1,Haiti,0,,1,1,Local,False,False,False
15,2026-06-19,Fase de grupos,C,2.0,Morocco,1,Scotland,0,,1,1,Local,False,False,False
16,2026-06-19,Fase de grupos,C,2.0,Brazil,3,Haiti,0,,3,3,Local,False,False,False
17,2026-06-24,Fase de grupos,C,3.0,Scotland,0,Brazil,3,,3,3,Visitante,False,False,False
18,2026-06-24,Fase de grupos,C,3.0,Morocco,4,Haiti,2,,6,2,Local,False,False,False
19,2026-06-12,Fase de grupos,D,1.0,USA,4,Paraguay,1,,5,3,Local,False,False,False
20,2026-06-13,Fase de grupos,D,1.0,Australia,2,Turkiye,0,,2,2,Local,False,False,False
21,2026-06-19,Fase de grupos,D,2.0,USA,2,Australia,0,,2,2,Local,False,False,False
22,2026-06-19,Fase de grupos,D,2.0,Paraguay,1,Turkiye,0,,1,1,Local,False,False,False
23,2026-06-25,Fase de grupos,D,3.0,Turkiye,3,USA,2,,5,1,Local,False,False,False
24,2026-06-25,Fase de grupos,D,3.0,Paraguay,0,Australia,0,,0,0,Empate,False,False,False
