team,grupo,confederacion,iso2,bandera,es_anfitrion,grupo_rank,grupo_w,grupo_d,grupo_l,grupo_pts,total_partidos,total_victorias,goles_favor,goles_contra,dif_goles,etapa_final_code,etapa_final,avanzo_a_eliminacion,posicion_final,score_etapa,score_victorias,score_dif_goles,score_goles_favor,power_score,cluster,cluster_name,pca_x,pca_y
Spain,H,UEFA,es,🇪🇸,False,1,2,1,0,7,8,7,14,1,13,8,Campeon,True,1,0.999999999875,0.9999999998571428,0.9999999999583333,0.699999999965,96.99999998970952,3,Elite ofensivo-defensivo,4.16,-1.303
Argentina,J,CONMEBOL,ar,🇦🇷,False,1,3,0,0,9,8,7,19,8,11,7,Subcampeon,True,2,0.874999999890625,0.9999999998571428,0.9166666666284722,0.9499999999525,91.58333332376856,3,Elite ofensivo-defensivo,4.578,1.208
England,L,UEFA,gb-eng,🏴󠁧󠁢󠁥󠁮󠁧󠁿,False,1,2,1,0,7,8,6,20,12,8,6,Tercer puesto,True,3,0.74999999990625,0.8571428570204082,0.7916666666336806,0.99999999995,80.47619046789427,3,Elite ofensivo-defensivo,3.579,2.627
France,I,UEFA,fr,🇫🇷,False,1,3,0,0,9,8,6,20,10,10,5,Cuarto puesto,True,4,0.624999999921875,0.8571428570204082,0.8749999999635417,0.99999999995,75.89285713527275,3,Elite ofensivo-defensivo,4.233,1.858
Belgium,G,UEFA,be,🇧🇪,False,1,1,2,0,5,6,3,14,7,7,3,Cuartos de Final,True,5,0.374999999953125,0.4285714285102041,0.74999999996875,0.699999999965,49.32142856688533,2,Solido / avanza bien,1.897,0.546
Switzerland,B,UEFA,ch,🇨🇭,False,1,2,1,0,7,6,3,10,6,4,3,Cuartos de Final,True,6,0.374999999953125,0.4285714285102041,0.6249999999739584,0.499999999975,44.82142856708949,2,Solido / avanza bien,1.665,-0.024
Morocco,C,CAF,ma,🇲🇦,False,2,2,1,0,7,6,3,10,6,4,3,Cuartos de Final,True,7,0.374999999953125,0.4285714285102041,0.6249999999739584,0.499999999975,44.82142856708949,2,Solido / avanza bien,1.665,-0.024
Norway,I,UEFA,no,🇳🇴,False,2,2,0,1,6,6,4,13,10,3,3,Cuartos de Final,True,8,0.374999999953125,0.5714285713469388,0.5833333333090278,0.6499999999675,48.34523809045058,2,Solido / avanza bien,1.782,1.577
Mexico,A,CONCACAF,mx,🇲🇽,True,1,3,0,0,9,5,4,10,3,7,2,Octavos de Final,True,9,0.24999999996875,0.5714285713469388,0.74999999996875,0.499999999975,43.92857142450128,2,Solido / avanza bien,2.721,-1.063
Brazil,C,CONMEBOL,br,🇧🇷,False,1,2,1,0,7,5,3,9,4,5,2,Octavos de Final,True,10,0.24999999996875,0.4285714285102041,0.6666666666388888,0.4499999999775,38.904761901194355,2,Solido / avanza bien,1.738,-0.749
Portugal,K,UEFA,pt,🇵🇹,False,2,1,2,0,5,5,2,8,3,5,2,Octavos de Final,True,11,0.24999999996875,0.2857142856734694,0.6666666666388888,0.39999999998,35.54761904448467,2,Solido / avanza bien,1.018,-1.123
Colombia,K,CONMEBOL,co,🇨🇴,False,1,2,1,0,7,5,3,5,1,4,2,Octavos de Final,True,12,0.24999999996875,0.4285714285102041,0.6249999999739584,0.2499999999875,36.07142856799575,2,Solido / avanza bien,1.376,-1.926
USA,D,CONCACAF,us,🇺🇸,True,1,2,0,1,6,5,3,11,8,3,2,Octavos de Final,True,13,0.24999999996875,0.4285714285102041,0.5833333333090278,0.5499999999725,38.238095234547146,2,Solido / avanza bien,1.396,0.741
Canada,B,CONCACAF,ca,🇨🇦,True,2,1,1,1,4,5,2,9,6,3,2,Octavos de Final,True,14,0.24999999996875,0.2857142856734694,0.5833333333090278,0.4499999999775,34.38095237786244,2,Solido / avanza bien,0.617,-0.014
Egypt,G,CAF,eg,🇪🇬,False,2,1,2,0,5,5,1,8,7,1,2,Octavos de Final,True,15,0.24999999996875,0.1428571428367347,0.49999999997916666,0.39999999998,29.357142854555534,1,Parejo / competitivo,0.222,0.18
Paraguay,D,CONMEBOL,py,🇵🇾,False,3,1,1,1,4,5,1,3,6,-3,2,Octavos de Final,True,16,0.24999999996875,0.1428571428367347,0.3333333333194444,0.1499999999925,23.523809521486083,0,Justo lo necesario,-0.786,-0.305
Germany,E,UEFA,de,🇩🇪,False,1,2,0,1,6,4,2,11,5,6,1,Ronda de 32,True,17,0.124999999984375,0.2857142856734694,0.7083333333038194,0.5499999999725,31.63095237848953,2,Solido / avanza bien,1.517,-0.366
Netherlands,F,UEFA,nl,🇳🇱,False,1,2,1,0,7,4,2,11,5,6,1,Ronda de 32,True,18,0.124999999984375,0.2857142856734694,0.7083333333038194,0.5499999999725,31.63095237848953,2,Solido / avanza bien,1.713,-0.406
Japan,F,AFC,jp,🇯🇵,False,2,1,2,0,5,4,1,8,5,3,1,Ronda de 32,True,19,0.124999999984375,0.1428571428367347,0.5833333333090278,0.39999999998,24.773809521934,2,Solido / avanza bien,0.484,-0.509
Senegal,I,CAF,sn,🇸🇳,False,3,1,0,2,3,4,1,10,9,1,1,Ronda de 32,True,20,0.124999999984375,0.1428571428367347,0.49999999997916666,0.499999999975,24.107142855286778,1,Parejo / competitivo,-0.054,1.021
Ivory Coast,E,CAF,ci,🇨🇮,False,2,2,0,1,6,4,2,5,4,1,1,Ronda de 32,True,21,0.124999999984375,0.2857142856734694,0.49999999997916666,0.2499999999875,24.46428571214647,2,Solido / avanza bien,0.516,-0.928
Congo DR,K,CAF,cd,🇨🇩,False,3,1,1,1,4,4,1,5,5,0,1,Ronda de 32,True,22,0.124999999984375,0.1428571428367347,0.4583333333142361,0.2499999999875,20.773809522113165,0,Justo lo necesario,-0.278,-0.577
Australia,D,AFC,au,🇦🇺,False,2,1,1,1,4,4,1,3,3,0,1,Ronda de 32,True,23,0.124999999984375,0.1428571428367347,0.4583333333142361,0.1499999999925,19.773809522163166,0,Justo lo necesario,-0.393,-1.338
Croatia,L,UEFA,hr,🇭🇷,False,2,2,0,1,6,4,2,6,7,-1,1,Ronda de 32,True,24,0.124999999984375,0.2857142856734694,0.4166666666493056,0.299999999985,23.29761904552425,1,Parejo / competitivo,0.312,0.142
Cape Verde,H,CAF,cv,🇨🇻,False,2,0,3,0,3,4,0,4,5,-1,1,Ronda de 32,True,25,0.124999999984375,0.0,0.4166666666493056,0.19999999999,16.583333332104864,0,Justo lo necesario,-0.933,-0.648
Ghana,L,CAF,gh,🇬🇭,False,3,1,1,1,4,4,1,2,3,-1,1,Ronda de 32,True,26,0.124999999984375,0.1428571428367347,0.4166666666493056,0.099999999995,18.44047618888956,0,Justo lo necesario,-0.582,-1.375
South Africa,A,CAF,za,🇿🇦,False,2,1,1,1,4,4,1,2,4,-2,1,Ronda de 32,True,27,0.124999999984375,0.1428571428367347,0.374999999984375,0.099999999995,17.607142855590943,0,Justo lo necesario,-0.713,-1.03
Ecuador,E,CONMEBOL,ec,🇪🇨,False,3,1,1,1,4,4,1,2,4,-2,1,Ronda de 32,True,28,0.124999999984375,0.1428571428367347,0.374999999984375,0.099999999995,17.607142855590943,0,Justo lo necesario,-0.713,-1.03
Sweden,F,UEFA,se,🇸🇪,False,3,1,1,1,4,4,1,7,10,-3,1,Ronda de 32,True,29,0.124999999984375,0.1428571428367347,0.3333333333194444,0.3499999999825,19.273809522167333,1,Parejo / competitivo,-0.555,1.217
Austria,J,UEFA,at,🇦🇹,False,2,1,1,1,4,4,1,6,9,-3,1,Ronda de 32,True,30,0.124999999984375,0.1428571428367347,0.3333333333194444,0.299999999985,18.773809522192334,1,Parejo / competitivo,-0.613,0.836
Bosnia and Herzegovina,B,UEFA,ba,🇧🇦,False,3,1,1,1,4,4,1,5,8,-3,1,Ronda de 32,True,31,0.124999999984375,0.1428571428367347,0.3333333333194444,0.2499999999875,18.273809522217334,1,Parejo / competitivo,-0.671,0.456
Algeria,J,CAF,dz,🇩🇿,False,3,1,1,1,4,4,1,5,9,-4,1,Ronda de 32,True,32,0.124999999984375,0.1428571428367347,0.2916666666545139,0.2499999999875,17.440476188918723,1,Parejo / competitivo,-0.802,0.8
IR Iran,G,AFC,ir,🇮🇷,False,3,0,3,0,3,3,0,3,3,0,0,Fase de grupos,False,33,0.0,0.0,0.4583333333142361,0.1499999999925,10.666666666209723,0,Justo lo necesario,-0.86,-1.373
Uruguay,H,CONMEBOL,uy,🇺🇾,False,3,0,2,1,2,3,0,3,4,-1,0,Fase de grupos,False,34,0.0,0.0,0.4166666666493056,0.1499999999925,9.833333332911112,0,Justo lo necesario,-1.187,-0.988
Korea Republic,A,AFC,kr,🇰🇷,False,3,1,0,2,3,3,1,2,3,-1,0,Fase de grupos,False,35,0.0,0.1428571428367347,0.4166666666493056,0.099999999995,12.190476189670807,0,Justo lo necesario,-0.777,-1.334
Turkiye,D,UEFA,tr,🇹🇷,False,4,1,0,2,3,3,1,3,5,-2,0,Fase de grupos,False,36,0.0,0.1428571428367347,0.374999999984375,0.1499999999925,11.857142856347194,0,Justo lo necesario,-0.851,-0.61
Scotland,C,UEFA,gb-sct,🏴󠁧󠁢󠁳󠁣󠁴󠁿,False,3,1,0,2,3,3,1,1,4,-3,0,Fase de grupos,False,37,0.0,0.1428571428367347,0.3333333333194444,0.0499999999975,10.023809523098583,0,Justo lo necesario,-1.097,-1.026
Czechia,A,UEFA,cz,🇨🇿,False,4,0,1,2,1,3,0,2,6,-4,0,Fase de grupos,False,38,0.0,0.0,0.2916666666545139,0.099999999995,6.833333333040279,0,Justo lo necesario,-1.833,-0.296
Saudi Arabia,H,AFC,sa,🇸🇦,False,4,0,2,1,2,3,0,1,5,-4,0,Fase de grupos,False,39,0.0,0.0,0.2916666666545139,0.0499999999975,6.333333333065279,0,Justo lo necesario,-1.695,-0.716
Panama,L,CONCACAF,pa,🇵🇦,False,4,0,0,3,0,3,0,0,4,-4,0,Fase de grupos,False,40,0.0,0.0,0.2916666666545139,0.0,5.833333333090279,0,Justo lo necesario,-2.144,-1.016
Jordan,J,AFC,jo,🇯🇴,False,4,0,0,3,0,3,0,3,8,-5,0,Fase de grupos,False,41,0.0,0.0,0.24999999998958333,0.1499999999925,6.4999999997166675,4,Eliminados temprano,-2.102,0.469
New Zealand,G,OFC,nz,🇳🇿,False,4,0,1,2,1,3,0,4,10,-6,0,Fase de grupos,False,42,0.0,0.0,0.2083333333246528,0.19999999999,6.166666666393056,4,Eliminados temprano,-1.98,1.154
Haiti,C,CONCACAF,ht,🇭🇹,False,4,0,0,3,0,3,0,2,8,-6,0,Fase de grupos,False,43,0.0,0.0,0.2083333333246528,0.099999999995,5.166666666443056,4,Eliminados temprano,-2.291,0.433
Qatar,B,AFC,qa,🇶🇦,False,4,0,1,2,1,3,0,2,10,-8,0,Fase de grupos,False,44,0.0,0.0,0.12499999999479167,0.099999999995,3.4999999998458335,4,Eliminados temprano,-2.358,1.082
Curacao,E,CONCACAF,cw,🇨🇼,False,4,0,1,2,1,3,0,1,9,-8,0,Fase de grupos,False,45,0.0,0.0,0.12499999999479167,0.0499999999975,2.9999999998708335,4,Eliminados temprano,-2.415,0.701
